STATE_CODE,STATE_NAME,LGA_CODE,LGA_NAME
33,RIVERS,693,ELEME
33,RIVERS,694,OYIGBO
33,RIVERS,695,KHANA
33,RIVERS,696,GOKANA
33,RIVERS,697,TAI
33,RIVERS,698,OGU-BOLO
33,RIVERS,699,BONNY
33,RIVERS,700,ANDONI
33,RIVERS,701,OPOBO/NKORO
34,BAYELSA,702,EKEREMOR
34,BAYELSA,703,SAGBAMA
34,BAYELSA,704,KOLOKUMA/OPOKUMA
34,BAYELSA,705,YENAGOA
34,BAYELSA,706,OGBIA
34,BAYELSA,707,SOUTHERN IJAW
34,BAYELSA,708,BRASS
34,BAYELSA,709,NEMBE
35,DELTA,710,IKA SOUTH
35,DELTA,711,IKA NORTH-EAST
35,DELTA,712,ANIOCHA NORTH
35,DELTA,713,OSHIMILI NORTH
35,DELTA,714,ANIOCHA SOUTH
35,DELTA,715,OSHIMILI SOUTH
35,DELTA,716,NDOKWA EAST
35,DELTA,717,NDOKWA WEST
35,DELTA,718,UKWUANI
35,DELTA,719,UGHELLI NORTH
35,DELTA,720,ETHIOPE EAST
35,DELTA,721,ISOKO NORTH
35,DELTA,722,ISOKO SOUTH
35,DELTA,723,PATANI
35,DELTA,724,UGHELLI SOUTH
35,DELTA,725,UVWIE
35,DELTA,726,OKPE
35,DELTA,727,ETHIOPE WEST
35,DELTA,728,SAPELE
35,DELTA,729,WARRI NORTH
35,DELTA,730,WARRI SOUTH-WEST
35,DELTA,731,WARRI SOUTH
35,DELTA,732,UDU
35,DELTA,733,BURUTU
35,DELTA,734,BOMADI
36,LAGOS,735,BADAGRY
36,LAGOS,736,OJO
36,LAGOS,737,AMUWO ODOFIN
36,LAGOS,738,ALIMOSHO
36,LAGOS,739,AGEGE
36,LAGOS,740,IFAKO-IJAIYE
36,LAGOS,741,IKEJA
36,LAGOS,742,OSHODI ISOLO
36,LAGOS,743,MUSHIN
36,LAGOS,744,SURULERE
36,LAGOS,745,AJEROMI-IFELODUN
36,LAGOS,746,APAPA
36,LAGOS,747,LAGOS ISLAND
36,LAGOS,748,LAGOS MAIN LAND
36,LAGOS,749,SOMOLU
36,LAGOS,750,KOSOFE
36,LAGOS,751,IKORODU
36,LAGOS,752,ETI-OSA
36,LAGOS,753,IBEJU-LEKKI
36,LAGOS,754,EPE
37,OGUN,755,IMEKO_AFON
37,OGUN,756,EGBADO NORTH
37,OGUN,757,ABEOKUTA  NORTH
37,OGUN,758,ABEOKUTA   SOUTH
37,OGUN,759,ODEDA
37,OGUN,760,OBAFEMI OWODE
37,OGUN,761,EWEKORO
37,OGUN,762,EGBADO SOUTH
37,OGUN,763,IPOKIA
37,OGUN,764,ADO ODO OTA
37,OGUN,765,IFO
37,OGUN,766,SAGAMU
37,OGUN,767,IKENNE
37,OGUN,768,REMO NORTH
37,OGUN,769,IJEBU NORTH
37,OGUN,770,ODOGBOLU
37,OGUN,771,IJEBU ODE
37,OGUN,772,IJEBU NORTH EAST
37,OGUN,773,IJEBU EAST
37,OGUN,774,OGUN WATERSIDE
,,,
